-0.055	0.158	8.650
-0.112	0.148	8.650
-0.083	0.187	8.813
-0.112	0.172	8.755
-0.079	0.086	8.669
-0.079	0.182	8.774
0.012	0.129	8.703
-0.064	0.153	8.870
-0.074	0.120	8.636
-0.126	0.148	8.703
-0.069	0.124	8.693
-0.126	0.244	8.746
-0.112	0.230	8.827
0.003	0.163	8.717
-0.136	0.139	8.755
-0.069	0.211	8.741
-0.040	0.148	8.822
-0.112	0.163	8.583
-0.050	0.249	8.746
-0.112	0.115	8.726
-0.064	0.268	8.703
-0.117	0.091	8.765
-0.079	0.211	8.650
-0.093	0.144	8.884
-0.045	0.206	8.669
-0.016	0.196	8.726
-0.050	0.220	8.765
-0.055	0.191	8.616
-0.055	0.172	8.846
-0.069	0.206	8.674
-0.126	0.244	8.712
-0.083	0.101	8.707
0.003	0.148	8.664
-0.012	0.177	8.573
-0.021	0.086	8.597
-0.098	0.115	8.760
-0.117	0.144	8.664
-0.021	0.172	8.521
-0.079	0.129	8.726
-0.036	0.215	8.913
-0.064	0.148	8.889
-0.031	0.191	8.770
-0.074	0.168	8.707
-0.055	0.172	8.674
-0.059	0.211	8.765
-0.126	0.215	8.683
-0.122	0.182	8.746
-0.103	0.196	8.722
0.051	0.168	8.655
-0.112	0.153	8.765
-0.131	0.120	8.841
-0.069	0.105	8.813
-0.069	0.239	8.679
-0.021	0.163	8.779
-0.045	0.129	8.659
-0.059	0.206	8.746
-0.093	0.235	8.731
-0.098	0.282	8.650
-0.055	0.120	8.760
-0.021	0.168	8.817
-0.055	0.196	8.808
-0.074	0.129	8.645
-0.083	0.105	8.875
-0.007	0.091	8.746
-0.012	0.153	8.726
-0.007	0.144	8.669
-0.079	0.129	8.741
-0.064	0.158	8.784
-0.079	0.158	8.803
-0.021	0.124	8.793
-0.093	0.148	8.645
0.022	0.115	8.683
-0.059	0.163	8.741
0.003	0.182	8.726
-0.112	0.172	8.688
-0.093	0.206	8.803
-0.059	0.177	8.679
-0.016	0.206	8.602
-0.045	0.273	8.774
-0.045	0.043	8.774
-0.122	0.148	8.803
-0.098	0.153	8.612
-0.074	0.163	8.640
-0.012	0.139	8.817
-0.036	0.105	8.784
-0.040	0.206	8.669
0.008	0.139	8.703
-0.122	0.254	8.765
-0.083	0.215	8.822
-0.117	0.043	8.741
-0.112	0.139	8.679
-0.093	0.158	8.789
-0.122	0.206	8.726
-0.007	0.268	8.736
-0.074	0.225	8.813
-0.040	0.091	8.774
-0.069	0.086	8.650
-0.093	0.172	8.793
-0.107	0.172	8.779
-0.107	0.163	8.798
-0.098	0.258	8.736
-0.093	0.215	8.822
-0.155	0.168	8.746
-0.016	0.129	8.798
-0.098	0.101	8.832
-0.050	0.163	8.736
-0.074	0.182	8.808
-0.131	0.239	8.736
-0.079	0.211	8.750
-0.059	0.177	8.722
-0.002	0.172	8.722
-0.083	0.120	8.645
-0.031	0.129	8.746
-0.074	0.081	8.683
-0.036	0.177	8.731
-0.112	0.158	8.832
-0.045	0.211	8.942
-0.055	0.101	8.803
-0.002	0.105	8.774
-0.079	0.115	8.712
-0.222	0.230	8.707
-0.055	0.163	8.774
-0.064	0.172	8.650
-0.131	0.206	8.683
0.022	0.158	8.736
-0.045	0.211	8.760
-0.055	0.182	8.688
-0.098	0.196	8.789
-0.079	0.043	8.789
-0.079	0.177	8.770
-0.050	0.168	8.588
-0.079	0.220	8.712
-0.122	0.225	8.693
-0.012	0.220	8.731
-0.031	0.187	8.631
0.046	0.268	8.707
-0.098	0.172	8.741
0.003	0.139	8.741
-0.069	0.182	8.712
-0.040	0.153	8.731
-0.040	0.220	8.837
-0.131	0.163	8.803
-0.055	0.163	8.793
-0.036	0.105	8.674
-0.122	0.230	8.703
-0.131	0.120	8.750
-0.079	0.091	8.918
-0.122	0.110	8.655
-0.093	0.081	8.741
-0.069	0.225	8.841
-0.074	0.144	8.760
-0.107	0.144	8.813
-0.040	0.225	8.698
-0.045	0.153	8.683
-0.107	0.129	8.736
-0.064	0.163	8.770
-0.059	0.206	8.765
